BercoMovimentacao;GrupoBerco;CaisPublico;BercoPDZ;
ABST.EMBARCACAO;ABASTECIMENTO;;;
AGEO 1;ILHA BARNABE;;AGEO 01;
ALAMOA 1;ALAMOA;S;AL 01;
ALAMOA 2;ALAMOA;S;AL 02;
ALAMOA 3;ALAMOA;S;AL 03;
ALAMOA 4;ALAMOA;S;AL 04;
AO LARGO;AO LARGO;S;;
ARM 10;PAQUETA;S;;
ARM 11;PAQUETA;S;;
ARM 12;PAQUETA;S;;
ARM 12A;PAQUETA;S;ARM 12-A;
ARM 13/14;PAQUETA;S;ARM 13/14;
ARM 15;PAQUETA;S;ARM 15;
ARM 16/17;OUTEIRINHOS;S;ARM 16/17;
ARM 19;OUTEIRINHOS;S;ARM 19;
ARM 20/21;OUTEIRINHOS;S;ARM 20/21;
ARM 22/23;OUTEIRINHOS;S;ARM 22/23;
ARM 25/FRIG;OUTEIRINHOS;S;ARM FRIG/25;
ARM 27;OUTEIRINHOS;S;;
ARM 29;MACUCO;S;ARM 29;
ARM 30;MACUCO;S;ARM 30;
ARM 32;MACUCO;S;ARM 32;
ARM 33;MACUCO;S;ARM 33/34;
ARM 35.1;MACUCO;S;ARM 35P1 (Arm34+35);
ARM 35.2;MACUCO;S;ARM 35P2 (35.1+35.2);
ARM 37;PONTA DA PRAIA;S;37 Pto 1 e 2;
ARM 38;PONTA DA PRAIA;S;ARM 38;
ARM 39;PONTA DA PRAIA;S;ARM 39;
BTP 1;BTP;N;BTP 01;
BTP 2;BTP;N;BTP 02;
BTP 3;BTP;N;BTP 03;
CORTE;ECOPORTO;;CORTE;
CUTRALE;CUTRALE;;;
DOW;DOW;;;
DP WORLD 1;DP WORLD;N;;
DP WORLD 2;DP WORLD;N;;
DP WORLD 3;DP WORLD;N;;
DP WORLD 4;DP WORLD;N;;
EPORT I;EPORT;;;
EPORT II;EPORT;;;
EPORT III;EPORT;;;
I. BARNABE BC;ILHA BARNABE;S;IB BC;
I. BARNABE SP;ILHA BARNABE;S;IB SP;
OUTEIRINHOS 2;OUTEIRINHOS;;OUTEIRINHOS 02(MB);
OUTEIRINHOS 3;OUTEIRINHOS;;OUTEIRINHOS 03;
SABOO 1;SABOO;S;CS 01;
SABOO 2;SABOO;S;CS 02;
SABOO 3;SABOO;S;CS 03;
SABOO 4;SABOO;S;CS 04;
SAIPEM;SAIPEM;;;
SUG 26;OUTEIRINHOS;S;;
TEAG;TEAG;;TEAG;
TECON 1;SANTOS BRASIL;;TECON 1;
TECON 2;SANTOS BRASIL;;TECON 2;
TECON 3;SANTOS BRASIL;;TECON 3;
TECON 4;SANTOS BRASIL;;;
TEFER I;TEFER;;;
TEFER II;TEFER;;;
TEG;TEG;;TEG;
TERMAG;TERMAG;;TERMAG;
TEV;Conceiçãozinha;S;TEV;
TEV 2;Conceiçãozinha;;;
TGG;TGG;;TGG;
TIPLAM 1;TIPLAM;N;;
TIPLAM 2;TIPLAM;N;;
TIPLAM 3;TIPLAM;N;;
TIPLAM 4;TIPLAM;N;;
USIMINAS 1;USIMINAS;N;;
USIMINAS 2;USIMINAS;N;;
USIMINAS 3;USIMINAS;N;;
USIMINAS 4;USIMINAS;N;;
USIMINAS 5;USIMINAS;N;;
VALONGO;VALONGO;;VALONGO;
